"name","slug","description","TERMID","municilality","municipality_name"
"|大ホール","%e5%a4%a7%e3%83%9b%e3%83%bc%e3%83%ab",,"190",,
"|大会議室","%e5%a4%a7%e4%bc%9a%e8%ad%b0%e5%ae%a4",,"194",,
"アクロス福岡","%e3%82%a2%e3%82%af%e3%83%ad%e3%82%b9%e7%a6%8f%e5%b2%a1",,"454",,
"|福岡シンフォニーホール","%e7%a6%8f%e5%b2%a1%e3%82%b7%e3%83%b3%e3%83%95%e3%82%a9%e3%83%8b%e3%83%bc%e3%83%9b%e3%83%bc%e3%83%ab",,"455",,
"愛知県芸術劇場","%e6%84%9b%e7%9f%a5%e7%9c%8c%e8%8a%b8%e8%a1%93%e5%8a%87%e5%a0%b4",,"456",,
"東京芸術劇場","%e6%9d%b1%e4%ba%ac%e8%8a%b8%e8%a1%93%e5%8a%87%e5%a0%b4",,"202",,
"|コンサートホール","%e3%82%b3%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%88%e3%83%9b%e3%83%bc%e3%83%ab",,"203",,
"いわき芸術文化交流館アリオス","%e3%81%84%e3%82%8f%e3%81%8d%e8%8a%b8%e8%a1%93%e6%96%87%e5%8c%96%e4%ba%a4%e6%b5%81%e9%a4%a8%e3%82%a2%e3%83%aa%e3%82%aa%e3%82%b9",,"461",,
"たましんRISURUホール（立川市民会館）","%e3%81%9f%e3%81%be%e3%81%97%e3%82%93risuru%e3%83%9b%e3%83%bc%e3%83%ab%ef%bc%88%e7%ab%8b%e5%b7%9d%e5%b8%82%e6%b0%91%e4%bc%9a%e9%a4%a8%ef%bc%89",,"206",,
"六本木ヒルズアリーナ","%e5%85%ad%e6%9c%ac%e6%9c%a8%e3%83%92%e3%83%ab%e3%82%ba%e3%82%a2%e3%83%aa%e3%83%bc%e3%83%8a",,"208",,
"国立劇場","%e5%9b%bd%e7%ab%8b%e5%8a%87%e5%a0%b4",,"209",,
"|大劇場","%e5%a4%a7%e5%8a%87%e5%a0%b4",,"210",,
"狛江エコルマホール","%e7%8b%9b%e6%b1%9f%e3%82%a8%e3%82%b3%e3%83%ab%e3%83%9e%e3%83%9b%e3%83%bc%e3%83%ab",,"211",,
"東京国際フォーラム","%e6%9d%b1%e4%ba%ac%e5%9b%bd%e9%9a%9b%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a9%e3%83%a0",,"212",,
"Bunkamura","bunkamura",,"213",,
"|オーチャードホール","%e3%82%aa%e3%83%bc%e3%83%81%e3%83%a3%e3%83%bc%e3%83%89%e3%83%9b%e3%83%bc%e3%83%ab",,"214",,
"毘沙門天善國寺境内　特設ステージ","%e6%af%98%e6%b2%99%e9%96%80%e5%a4%a9%e5%96%84%e5%9c%8b%e5%af%ba%e5%a2%83%e5%86%85%e3%80%80%e7%89%b9%e8%a8%ad%e3%82%b9%e3%83%86%e3%83%bc%e3%82%b8",,"470",,
"サントリーホール","%e3%82%b5%e3%83%b3%e3%83%88%e3%83%aa%e3%83%bc%e3%83%9b%e3%83%bc%e3%83%ab",,"226",,
"江戸川区総合文化センター","%e6%b1%9f%e6%88%b8%e5%b7%9d%e5%8c%ba%e7%b7%8f%e5%90%88%e6%96%87%e5%8c%96%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc",,"227",,
"ギャラクシティ西新井","%e3%82%ae%e3%83%a3%e3%83%a9%e3%82%af%e3%82%b7%e3%83%86%e3%82%a3%e8%a5%bf%e6%96%b0%e4%ba%95",,"229",,
"新宿文化センター","%e6%96%b0%e5%ae%bf%e6%96%87%e5%8c%96%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc",,"231",,
"きゅりあん（品川区立総合区民会館）","%e3%81%8d%e3%82%85%e3%82%8a%e3%81%82%e3%82%93%ef%bc%88%e5%93%81%e5%b7%9d%e5%8c%ba%e7%ab%8b%e7%b7%8f%e5%90%88%e5%8c%ba%e6%b0%91%e4%bc%9a%e9%a4%a8%ef%bc%89",,"233",,
"府中の森芸術劇場","%e5%ba%9c%e4%b8%ad%e3%81%ae%e6%a3%ae%e8%8a%b8%e8%a1%93%e5%8a%87%e5%a0%b4",,"234",,
"羽村市生涯学習センターゆとろぎ","%e7%be%bd%e6%9d%91%e5%b8%82%e7%94%9f%e6%b6%af%e5%ad%a6%e7%bf%92%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc%e3%82%86%e3%81%a8%e3%82%8d%e3%81%8e",,"235",,
"くにたち市民芸術小ホール","%e3%81%8f%e3%81%ab%e3%81%9f%e3%81%a1%e5%b8%82%e6%b0%91%e8%8a%b8%e8%a1%93%e5%b0%8f%e3%83%9b%e3%83%bc%e3%83%ab",,"236",,
"KOTORIホール（昭島市民会館）","kotori%e3%83%9b%e3%83%bc%e3%83%ab%ef%bc%88%e6%98%ad%e5%b3%b6%e5%b8%82%e6%b0%91%e4%bc%9a%e9%a4%a8%ef%bc%89",,"237",,
