id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2416,【ティツィアーノとヴェネツィア派展】特別展関連講演会,2016,東京都美術館,"20170121,20170211,20170218,20170225,20170203,20170303,20170224,20170317,20170324,20170331","a:1:{s:4:""time"";a:4:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:15:""記念講演会"";}i:1;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:8:""19:00:00"";s:10:""time_bikou"";s:30:""イブニングレクチャー"";}i:2;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:36:""スペシャルトークイベント"";}i:3;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:115:""東京・春・音楽祭「ティツィアーノとヴェネツィア派展」ミュージアム・ コンサート"";}}}",,
2417,"【TOKYO 書 2017 公募団体の今】特別展関連講演会",2016,東京都美術館,"20170107,20170108,20170109,20170104","a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""16:25:00"";s:10:""time_bikou"";s:27:""アーティストトーク"";}i:1;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""14:30:00"";s:10:""time_bikou"";s:58:""橘雅友会による雅楽演奏会「都美雅楽2017」"";}}}",,
2418,"【都美セレクション 新鋭美術家 2017】特別展関連講演会",2016,東京都美術館,"20170304,20170312","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
2421,チュム・チャンヴェスナ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170726
2422,カアン・ミュジデジ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170505,20170731
2423,プラパット・ジワランサン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170904,20171129
2424,ミシェル・ユノー,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170911,20171208
2425,ヴィクター・ワン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170501,20170531
2426,カリ・コンテ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170525,20170529
2427,クゥワイ・サムナン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170715,20170726
2428,バーバック・ハシェミ＝ネジャド,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20170913
2430,ヘザー・B・スワン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20170928
