id,Title,開催年度,主催
5233,"ムジカ・ピッコラ 2）一般（2017年1月22日）",2016,東京都|東京文化会館|アーツカウンシル東京|公益財団法人立川市地域文化振興財団
5234,【特集展示】東海道五拾三次展,2017,東京都江戸東京博物館
5235,"梅田宏明×東京藝術大学Synesensory Embodiment Project ワークインプログレス公演",2017,国立大学法人東京藝術大学
5238,【企画展】徳川将軍家へようこそ,2017,東京都江戸東京博物館
5240,"x-LAB 2018 TOKYO summer program",2017,一般財団法人吉岡文庫育英会
5250,「江戸と北京-18世紀の都市と暮らし」展,2017,東京都江戸東京博物館|中国文物交流中心|故宮博物院|首都博物館|朝日新聞社
5251,ケアハウス松が谷デイルーム（2017年3月20日）,2016,東京都|東京文化会館|アーツカウンシル東京
5252,"台東区老人福祉センター 大集会室（2017年3月22日）",2016,東京都|東京文化会館|アーツカウンシル東京
5253,アンサンブル演奏会,2016,公益財団法人東京都歴史文化財団|東京芸術劇場
5256,"古典技法ワークショップ 鶏卵紙プリントワークショップ（Aコース）",2017,東京都写真美術館
5257,没後150年　坂本龍馬,2017,東京都江戸東京博物館|読売新聞社
5258,"古典技法ワークショップ 鶏卵紙プリントワークショップ（Bコース）",2017,東京都写真美術館
5259,"視覚障害者とつくる美術鑑賞ワークショップ 春期（Aコース）",2017,東京都写真美術館
5260,"視覚障害者とつくる美術鑑賞ワークショップ 春期（Bコース）",2017,東京都写真美術館
5261,2017　モノクロ銀塩プリントワークショップ（A/Bコース）,2017,東京都写真美術館
5262,2017　モノクロ銀塩プリントワークショップ（C/Dコース）,2017,東京都写真美術館
5266,第3回　演奏会,2016,公益財団法人東京都歴史文化財団|東京芸術劇場
5267,障害を起点とした新しい価値を探るデザインプロセスの実践vol.2,2017,"DDD Project"
5268,"Playable City Tokyo 2018",2017,"JKD Collective株式会社"
5272,"""落合陽一＆日本フィルハーモニー交響楽団プロジェクト 音の視覚化・身体化による新たなオーケストラ体験創出事業（仮称）""",2017,公益財団法人日本フィルハーモニー交響楽団
5273,"VR 能　～最新VRテクノロジーによる能楽の世界発信プロジェクト～",2017,若者能実行委員会
5275,芸劇ジュニア･アンサンブル・アカデミー,2016,東京芸術劇場
5276,ライゾマティクスリサーチ×イレブンプレイ新作公演制作プロジェクト,2017,株式会社ライゾマティクス
5277,echo（エコー）,2017,エコープロジェクト
5280,"Altanative Act 1.0 -Tech Performance Fes-",2017,ZEN-NOKAN
5281,"MeCA l Media Culture in Asia: A Transnational Platform",2017,"一般社団法人TodaysArt JAPAN"
5286,"""人工生命国際会議パブリックプログラム　アンドロイド・コンサート Scary Beauty 日本科学未来館公演""",2017,株式会社オルタナティヴ・マシン
5287,未来の渋谷の運動会,2017,一般社団法人運動会協会
5290,"Tokyo Tokyo FESTIVAL企画公募事業",2017,東京都|アーツカウンシル東京
5291,じっくり見たり、つくったりしよう！春期（Aコース）,2017,東京都写真美術館
5292,じっくり見たり、つくったりしよう！春期（Bコース）,2017,東京都写真美術館
5293,"クロマキーランド どこでも記念撮影（場所：アトレ恵比寿4階 ラフォンテーヌ広場）",2017,東京都写真美術館
5294,"フォトドキュメンタリーワークショップ 2017",2017,東京都写真美術館|朝日新聞社
5295,フォトドキュメンタリーワークショップ一般公開レヴュー,2017,東京都写真美術館
5296,"夏休みワークショップ 手作りの家族写真 暗室でのモノクロ現像に挑戦！（A/Bコース）",2017,東京都写真美術館
5297,"夏休みワークショップ 手作りの家族写真 暗室でのモノクロ現像に挑戦！（C/Dコース）",2017,東京都写真美術館
5298,じっくり見たり、つくったりしよう！夏期（Aコース）,2017,東京都写真美術館
5299,じっくり見たり、つくったりしよう！夏期（Bコース）,2017,東京都写真美術館
5300,"視覚障害者とつくる美術鑑賞ワークショップ 夏期",2017,東京都写真美術館
5302,江戸の正月を楽しもう,2016,江戸東京たてもの園|東京都
5303,ペルゴレージ　歌劇「オリンピーアデ」,2017,新日鉄住金文化財団
5307,子規生誕150年記念　オペラ「病牀六尺に生きる」,2017,一般財団法人子規庵保存会
5308,正月の昔あそび,2016,江戸東京たてもの園|東京都
5309,オペラ「セヴィリアの理髪師の結婚」,2017,田尾下哲シアターカンパニー
5311,たてもの園フェスティバル,2016,江戸東京たてもの園|東京都
5313,ジャズ・ワールドビート2017,2017,株式会社プランクトン
5314,8ミリ自家現像ワークショップ,2017,東京都写真美術館
5315,8ミリ自家現像ワークショップ発表上映会,2017,東京都写真美術館
5316,じっくり見たり、つくったりしよう！秋期（Aコース）,2017,東京都写真美術館
5317,"視覚障害者とつくる美術鑑賞ワークショップ 秋期",2017,東京都写真美術館
5318,"モノクロ銀塩プリント ワークショップ（A/Bコース）",2017,東京都写真美術館
5319,じっくり見たり、つくったりしよう！秋期（Bコース）,2017,東京都写真美術館
5320,"モノクロ銀塩プリント ワークショップ（C/Dコース）",2017,東京都写真美術館
5321,手作りアニメーション体験午前コース,2017,東京都写真美術館
5322,手作りアニメーション体験午後コース,2017,東京都写真美術館
5323,"高校生限定 暗室でモノクロ写真プリントワークショップ",2017,東京都写真美術館
5324,"アンサンブル・ノマド結成20周年記念定期演奏会 饗宴Vol.1～4",2017,アンサンブル・ノマド
5326,"栗コーダー＆フレンズ　アジア６カ国 ミュージック＆アート　 共同制作プロジェクト",2017,栗コーダーカルテット
5330,"アンサンブル・ノマド定期演奏会 第56～58回「照らし合うもの Vol.1-3」",2017,アンサンブル・ノマド
5331,伝統工芸の実演,2016,江戸東京たてもの園|東京都
5332,絨毯座ヴァイル・プロジェクト３『マハゴニー市の興亡』,2017,"labo opera 絨毯座"
5334,第十二回本公演「滅びの国」,2017,口字ック
5336,ゴーレム,2017,糸あやつり人形一糸座
5337,Q『毛美子不毛話』韓国公演,2017,Q
5339,亜細亜の骨　演劇でアジアを繋ぐ！企画,2017,亜細亜の骨
5344,"リクウズルーム× 努力クラブ 合同公演「飾」『Are you　wearing clothes?』",2017,リクウズルーム
5345,ロロvol.13『BGM』,2017,ロロ
5346,俺が代　ルーマニアツアー,2017,かもめマシーン
5349,"M プロジェクト「Mother」ヨーロッパツアー",2017,合同会社アルシュ
5357,写真開拓史講座　初期写真を巡る講演会「‶写真”と‶文献”資料から読み解く写真史」,2017,東京都写真美術館|読売新聞社|美術館連絡協議会
