Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
"R.I.P.TOKYO くすぐる",4700,https://www.artscouncil-tokyo.jp/ja/events/22678/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""29"";s:6:""備考"";s:0:"""";}"
"R.I.P.TOKYO みつける",4703,https://www.artscouncil-tokyo.jp/ja/events/23269/,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}"
"「Rest In Peace, TOKYO」戯曲　作成",4705,,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
記録集と映像記録を作成,4706,,2017,東京都|アーツカウンシル東京|一般社団法人指輪ホテル,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
"[2017]あいうえの学校 （学校向けプログラム）  スペシャルマンデーコース",4707,,2017,東京都美術館,,,,,12,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""893"";s:6:""備考"";s:0:"""";}"
"さよなら汐入タワー ～いままでありが塔～",4710,https://www.artscouncil-tokyo.jp/ja/events/21056/,2017,東京都|荒川区|アーツカウンシル東京|一般社団法人CIAN,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""150"";s:6:""備考"";s:0:"""";}"
"[2017]あいうえの学校 (学校向けプログラム)  平日開館コース",4711,,2017,東京都美術館,,,,,8,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""458"";s:6:""備考"";s:0:"""";}"
[2017]あいうえのメンバー向けプログラム,4714,,2017,東京都美術館,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""402"";s:6:""備考"";s:0:"""";}"
シェアリング・セッション,4715,,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,7,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""81"";s:6:""備考"";s:0:"""";}"
"""シェアリング・セッション Stories behind “How do we meet? How can we meet?”多文化な若者たちの居 場所づくり それぞれの現場から見えてきたいま""",4716,https://www.artscouncil-tokyo.jp/ja/events/25945/,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""30"";s:6:""備考"";s:0:"""";}"
[2017]学びあいカフェ,4717,,2017,東京都美術館,,,,,51,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""525"";s:6:""備考"";s:0:"""";}"
エンゲージメント・プログラム,4718,,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
地域連携プログラム,4719,https://www.yebizo.com/2018/jp/program/#rcp,2017,,,,,,14,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
定時制高校でのプログラム,4720,,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""80"";s:6:""備考"";s:0:"""";}"
"【ボイマンス美術館所蔵 ブリューゲル「バベルの塔」展】記念講演会",4722,,2017,東京都美術館,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1002"";s:6:""備考"";s:0:"""";}"
学校外でのプログラム,4723,,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""5"";s:6:""備考"";s:0:"""";}"
【ボストン美術館の至宝展】,4724,,2017,東京都美術館,,,,,5,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""916"";s:6:""備考"";s:0:"""";}"
人材育成プログラム,4725,,2017,東京都|アーツカウンシル東京|一般社団法人kuriya,,,,,16,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""75"";s:6:""備考"";s:0:"""";}"
"【杉戸洋展 とんぼ と のりしろ】",4726,,2017,東京都美術館,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
