Title,id,WEBサイトのアドレス,開催年度,主催,共催,協賛,協力,後援,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数
発表会「ほくさい音楽博」,3125,https://www.artscouncil-tokyo.jp/ja/events/17122/,2017,アーツカウンシル東京|東京都|特定非営利活動法人トッピングイースト,,東京東信用金庫|J:COMすみだ・台東|国技館通り商店会|回向院,陸奥部屋,墨田区教育委員会|一般社団法人墨田区観光協会,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1746"";s:6:""備考"";s:0:"""";}"
"[2017]ワンダーシード2018関連企画ワークショップ  種から咲かそう！ワンダーフラワー",3127,http://www.tokyoartsandspace.jp/archive/2017/12/h1206.shtml,2017,トーキョーワンダーサイト,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
ワンダーシード2018,3130,http://www.tokyoartsandspace.jp/archive/2017/12/h1206.shtml,2017,トーキョーワンダーサイト,,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""733"";s:6:""備考"";s:0:"""";}"
"[オープン・スタジオ 2017-2018]2017.7.21 -7.23",3133,http://www.tokyoartsandspace.jp/archive/2017/06/r0622.shtml,2017,,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""134"";s:6:""備考"";s:0:"""";}"
大田区立馬込第二小学校,3136,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""77"";s:6:""備考"";s:0:"""";}"
大田区立大森第一小学校,3138,,2017,アーツカウンシル東京,,,東京都|東京都華道茶道連盟,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""64"";s:6:""備考"";s:0:"""";}"
町田市立高ヶ坂小学校,3140,,2017,アーツカウンシル東京,,,東京都|株式会社高橋工房,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}"
北区立赤羽台西小学校,3142,,2017,アーツカウンシル東京,,,東京都|公益社団法人日本三曲協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""53"";s:6:""備考"";s:0:"""";}"
八王子市立恩方第一小学校,3143,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""50"";s:6:""備考"";s:0:"""";}"
杉並区立済美養護学校,3145,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""33"";s:6:""備考"";s:0:"""";}"
品川区立荏原平塚学園,3147,,2017,アーツカウンシル東京,,,東京都|公益社団法人日本舞踊協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""57"";s:6:""備考"";s:0:"""";}"
立教女学院小学校,3149,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""71"";s:6:""備考"";s:0:"""";}"
豊島区立池袋第三小学校,3151,,2017,アーツカウンシル東京,,,東京都|東京都華道茶道連盟,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""47"";s:6:""備考"";s:0:"""";}"
江東区立第五大島小学校,3153,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""62"";s:6:""備考"";s:0:"""";}"
東京都立南大沢学園,3155,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""100"";s:6:""備考"";s:0:"""";}"
中野区立鷺宮小学校,3157,,2017,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""50"";s:6:""備考"";s:0:"""";}"
目黒区立下目黒小学校,3159,,2017,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""53"";s:6:""備考"";s:0:"""";}"
練馬区立早宮小学校,3161,,2017,アーツカウンシル東京,,,東京都|東京都工芸染色協同組合,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""88"";s:6:""備考"";s:0:"""";}"
調布市立第一小学校,3163,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""97"";s:6:""備考"";s:0:"""";}"
"[オープン・スタジオ 2017-2018]2017.11.10-11.12",3164,http://www.tokyoartsandspace.jp/archive/2017/10/r1010.shtml,2017,トーキョーワンダーサイト,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""134"";s:6:""備考"";s:0:"""";}"
葛飾区立本田小学校,3165,,2017,アーツカウンシル東京,,,東京都|公益社団法人日本小唄連盟,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}"
八王子市立横川小学校,3167,,2017,アーツカウンシル東京,,,東京都|公益財団法人江戸糸あやつり人形結城座,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""53"";s:6:""備考"";s:0:"""";}"
オペラの登場人物になる！《童子》,3169,,2016,東京文化会館|東京都|アーツカウンシル東京,,,,,29,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""2"";s:6:""備考"";s:0:"""";}"
北区立第四岩淵小学校,3170,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""50"";s:6:""備考"";s:0:"""";}"
板橋区立志村小学校,3172,,2017,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""57"";s:6:""備考"";s:0:"""";}"
"[オープン・スタジオ 2017-2018]2018.3.9-3.11",3174,http://www.tokyoartsandspace.jp/archive/2018/02/r0309.shtml,2017,トーキョーワンダーサイト,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""138"";s:6:""備考"";s:0:"""";}"
世田谷区立上北沢小学校,3175,,2017,アーツカウンシル東京,,,東京都|公益社団法人日本舞踊協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""74"";s:6:""備考"";s:0:"""";}"
府中市立日新小学校,3177,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""65"";s:6:""備考"";s:0:"""";}"
オペラの登場人物になる！《合唱・演技》,3179,,2016,東京都|東京文化会館|アーツカウンシル東京,,,,,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}"
東久留米市立第三小学校,3180,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""51"";s:6:""備考"";s:0:"""";}"
東村山市立東萩山小学校,3182,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""103"";s:6:""備考"";s:0:"""";}"
東大和市立第一小学校,3184,,2017,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""71"";s:6:""備考"";s:0:"""";}"
大島町立つばき小学校,3186,,2017,アーツカウンシル東京,,,東京都|一般社団法人長唄協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""19"";s:6:""備考"";s:0:"""";}"
世田谷区立芦花小学校,3189,,2017,アーツカウンシル東京,,,東京都|公益社団法人日本舞踊協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""150"";s:6:""備考"";s:0:"""";}"
西東京市立谷戸小学校,3190,,2017,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""42"";s:6:""備考"";s:0:"""";}"
葛飾区立保田しおさい学校,3192,,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""19"";s:6:""備考"";s:0:"""";}"
東京都立八王子特別支援学校,3194,,2018,アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""150"";s:6:""備考"";s:0:"""";}"
荒川区立大門小学校,3196,,2018,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}"
国立市立国立第五小学校,3198,,2018,アーツカウンシル東京,,,東京都|公益社団法人日本三曲協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""60"";s:6:""備考"";s:0:"""";}"
立川市立新生小学校,3200,,2018,アーツカウンシル東京,,,東京都|東京都染色工業協同組合,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""77"";s:6:""備考"";s:0:"""";}"
"ミュージック・プログラム・トーキョーMusic　EducationProgram Talk & lesson",3201,http://www.t-bunka.jp/old/sponsership/spo_160921.html,2016,東京都|東京文化会館|アーツカウンシル東京,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""587"";s:6:""備考"";s:0:"""";}"
八王子市立長沼小学校,3203,,2018,アーツカウンシル東京,,,東京都|西川古柳座,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""67"";s:6:""備考"";s:0:"""";}"
青梅市立河辺小学校,3204,,2018,アーツカウンシル東京,,,東京都|一般社団法人伶楽舎,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""88"";s:6:""備考"";s:0:"""";}"
青梅市立友田小学校,3206,,2018,アーツカウンシル東京,,,東京都|公益社団法人日本三曲協会,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""56"";s:6:""備考"";s:0:"""";}"
"TWS-Emerging 2017 Part.1",3208,http://www.tokyoartsandspace.jp/archive/2017/04/tws-emerging2017-1.shtml,2017,"公益財団法人東京都歴史文化財団|東京都現代美術館 育成支援課",,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""474"";s:6:""備考"";s:0:"""";}"
"TWS-Emerging 2017 Part.2",3210,http://www.tokyoartsandspace.jp/archive/2017/04/tws-emerging2017-2.shtml,2017,"公益財団法人東京都歴史文化財団|東京都現代美術館 育成支援課",,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""482"";s:6:""備考"";s:0:"""";}"
"TWS-Emerging 2017 Part.3",3211,http://www.tokyoartsandspace.jp/archive/2017/04/tws-emerging2017-3.shtml,2017,"公益財団法人東京都歴史文化財団|東京都現代美術館 育成支援課",,,,,26,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""461"";s:6:""備考"";s:0:"""";}"
【2017】東京都江戸東京博物館　演芸プログラム,3213,https://www.artscouncil-tokyo.jp/ja/events/18078/,2017,アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,78,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""12517"";s:6:""備考"";s:4:""6670"";}"
東京フォーラム《連携と人財育成がヒラク未来》,3214,http://www.t-bunka.jp/stage/host_10159.html,2017,東京都|東京文化会館|アーツカウンシル東京,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""458"";s:6:""備考"";s:0:"""";}"
首都圏文化施設における教育普及プログラム担当者のための意見交換会,3216,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""8"";s:6:""備考"";s:0:"""";}"
【2017】浅草文化観光センター　日本舞踊プログラム,3218,https://www.artscouncil-tokyo.jp/ja/events/18084/,2017,アーツカウンシル東京,台東区,,東京都|公益社団法人日本舞踊協会,,102,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2631"";s:6:""備考"";s:4:""1671"";}"
"コハーン・イシュトヴァーン＆中野翔太 デュオ・コンサート",3219,http://www.t-bunka.jp/stage/host_10551.html,2017,東京都|東京文化会館|アーツカウンシル東京,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""653"";s:6:""備考"";s:0:"""";}"
平成29年度全国4館連携フォーラム実施報告会,3220,https://www.artscouncil-tokyo.jp/ja/events/25556/,2017,東京都|東京文化会館|アーツカウンシル東京,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""62"";s:6:""備考"";s:0:"""";}"
"０〜３才児のためのはじめてのステージ 〜クラリネットってなあに？",3222,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""80"";s:6:""備考"";s:0:"""";}"
"小曽根 真ワークショップ「自分でみつける音楽」Vol.5",3226,http://www.t-bunka.jp/stage/host_10170.html,2017,東京都|東京文化会館|アーツカウンシル東京,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""598"";s:6:""備考"";s:0:"""";}"
東京都内における特別支援学校コンサート（東京都立青峰学園体育館）,3228,,2016,東京オーケストラ事業協同組合,,,東京都立青峰学園,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""112"";s:6:""備考"";s:0:"""";}"
オペラの登場人物になる！《合唱・演技》《ダンス》,3230,https://www.artscouncil-tokyo.jp/ja/events/19396/,2017,東京都|東京文化会館|アーツカウンシル東京,公益財団法人港区スポーツふれあい文化健康財団,,,,22,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""494"";s:6:""備考"";s:0:"""";}"
東京都内における特別支援学校コンサート（東京都立清瀬特別支援学校）,3231,,2016,東京オーケストラ事業協同組合,,,東京都立清瀬特別支援学校,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""300"";s:6:""備考"";s:0:"""";}"
東京都内における特別支援学校コンサート（東京都立白鷺特別支援学校）,3233,,2016,東京オーケストラ事業協同組合,,,東京都立白鷺特別支援学校,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""326"";s:6:""備考"";s:0:"""";}"
オペラの登場人物になる《工作》,3234,https://www.artscouncil-tokyo.jp/ja/events/19389/,2017,東京都|東京文化会館|アーツカウンシル東京,公益財団法人港区スポーツふれあい文化健康財団,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""183"";s:6:""備考"";s:0:"""";}"
"[2017]渋谷自在 ―無限、あるいは自己の領域",3235,http://www.tokyoartsandspace.jp/archive/2017/06/s0729.shtml,2017,トーキョーワンダーサイト,,,URANO|株式会社けんちく工房邑,,,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""3"";s:6:""備考"";s:0:"""";}"
東京都内における特別支援学校コンサート（東京都立江東特別支援学校）,3238,,2016,東京オーケストラ事業協同組合,,,東京都立江東特別支援学校,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""183"";s:6:""備考"";s:0:"""";}"
練馬区立小竹小学校,3242,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""86"";s:6:""備考"";s:0:"""";}"
"[2017]TWS渋谷 クロージング・イベント",3245,http://www.tokyoartsandspace.jp/archive/2017/08/s0917.shtml,2017,トーキョーワンダーサイト,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}"
大田区立松仙小学校,3246,,2017,東京文化会館,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""820"";s:6:""備考"";s:0:"""";}"
町田市立町田第三小学校,3248,,2017,東京文化会館,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""480"";s:6:""備考"";s:0:"""";}"
【2017】浅草文化観光センター　長唄三味線プログラム,3250,https://www.artscouncil-tokyo.jp/ja/events/18086/,2017,アーツカウンシル東京,,台東区,東京都|一般社団法人長唄協会,,36,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""851"";s:6:""備考"";s:3:""505"";}"
江東区立大島南小学校,3252,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""218"";s:6:""備考"";s:0:"""";}"
台東区立坂本保育園,3254,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""65"";s:6:""備考"";s:0:"""";}"
八王子市立上柚木小学校,3256,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""399"";s:6:""備考"";s:0:"""";}"
江戸川区立鎌田東小学校,3258,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""440"";s:6:""備考"";s:0:"""";}"
葛飾区立堀切中学校,3260,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""258"";s:6:""備考"";s:0:"""";}"
八王子市立上壱分方小学校,3262,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""180"";s:6:""備考"";s:0:"""";}"
新宿区立落合第五小学校,3264,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""163"";s:6:""備考"";s:0:"""";}"
西東京市立谷戸小学校,3266,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""360"";s:6:""備考"";s:0:"""";}"
東村山市立秋津小学校,3268,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""352"";s:6:""備考"";s:0:"""";}"
八王子市立由井第一小学校,3270,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""532"";s:6:""備考"";s:0:"""";}"
北区立王子第二小学校,3272,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""192"";s:6:""備考"";s:0:"""";}"
台東区立柏葉中学校,3274,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""133"";s:6:""備考"";s:0:"""";}"
小平市立小平第九小学校,3276,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""521"";s:6:""備考"";s:0:"""";}"
台東区立根岸小学校,3278,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""596"";s:6:""備考"";s:0:"""";}"
江東区立つばめ幼稚園,3280,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""73"";s:6:""備考"";s:0:"""";}"
江東区立浅間堅川小学校,3282,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""179"";s:6:""備考"";s:0:"""";}"
台東区立浅草橋保育園,3284,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""77"";s:6:""備考"";s:0:"""";}"
荒川区立東日暮里幼稚園,3286,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""92"";s:6:""備考"";s:0:"""";}"
福生市福生第二小学校,3288,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""449"";s:6:""備考"";s:0:"""";}"
台東区立忍岡小学校,3290,,2017,東京文化会館,,,,,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""265"";s:6:""備考"";s:0:"""";}"
羽村市立羽村西小学校,3293,,2017,東京文化会館,,,,,4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""91"";s:6:""備考"";s:0:"""";}"
昭島市立多摩辺中学校,3295,,2017,東京文化会館,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""105"";s:6:""備考"";s:0:"""";}"
東村山市立大岱小学校,3298,,2017,東京文化会館,,,,,3,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""98"";s:6:""備考"";s:0:"""";}"
深川資料館通り商店街協同組合事務所1F,3300,,2017,東京都|東京都現代美術館|アーツカウンシル東京,,株式会社資生堂|大日本印刷株式会社|公益財団法人クマ財団,"東京大学地震研究所|デル株式会社|ユニティ・テクノロジーズ・ジャパン合同会社|大阪大学大学院情報科学研究科|慶應義塾大学大学院メディアデザイン研究科|錯視ブロックワークショップグループ|ケイ・インターナショナルスクール東京|一般社団法人　江東区観光協会|法政大学大学院　地域建造システム研究所|江東区文化観光ガイドの会|株式会社中川ケミカル|株式会社森木ペーパー|江東区深川江戸資料館|江東区立深川図書館|Coci la elle|smokebooks|オールプレス エスプレッソ|三河屋精米店|大久保クリーニング|ナンディニ|お菓子司　双葉|株式会社スタートライン",江東区,23,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""1,118"";s:6:""備考"";s:0:"""";}"
八王子市立上川口小学校,3316,,2017,東京文化会館,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""67"";s:6:""備考"";s:0:"""";}"
墨田区立言問小学校,3319,,2017,東京文化会館,,,,,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""46"";s:6:""備考"";s:0:"""";}"
