Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
企画展「徳川将軍家の婚礼」みどころ（2017年1月20日）,2586,,2016,単日/複数日,20170120,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""44"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
日本舞踊（男子）,2587,,2016,単日/複数日,"20161127,20161204,20161211,20161218,20161225,20170108,20170115,20170122,20170129,20170205,20170212,20170226,20170305,20170312,20170319,20170326","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:20:00"";s:7:""time_to"";s:8:""12:20:00"";s:10:""time_bikou"";s:7:""（B）"";}}}",16,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""13"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|公益社団法人日本芸能実演家団体協議会,公益財団法人新宿未来創造財団,独立行政法人日本芸術文化振興会,公益財団法人梅若会|公益社団法人宝生会,新宿区,,
長唄　三味線（ユース）,2588,,2016,単日/複数日,"20170108,20170115,20170122,20170129,20170205,20170212,20170305,20170312,20170319,20170326","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|公益社団法人日本芸能実演家団体協議会,公益財団法人新宿未来創造財団,独立行政法人日本芸術文化振興会,公益財団法人梅若会|公益社団法人宝生会,新宿区,,
企画展「徳川将軍家の婚礼」みどころ（2017年1月27日）,2589,,2016,単日/複数日,20170127,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""40"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
三曲　箏曲（ユース）,2590,,2016,単日/複数日,"20170108,20170115,20170122,20170129,20170205,20170212,20170305,20170312,20170319,20170326","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""16"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|公益社団法人日本芸能実演家団体協議会,公益財団法人新宿未来創造財団,独立行政法人日本芸術文化振興会,公益財団法人梅若会|公益社団法人宝生会,新宿区,,
日本舞踊（ユース）,2591,,2016,単日/複数日,"20170108,20170115,20170122,20170129,20170205,20170212,20170305,20170312,20170319,20170326","a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""17:00:00"";s:10:""time_bikou"";s:0:"""";}}}",10,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}",東京都|アーツカウンシル東京|公益社団法人日本芸能実演家団体協議会,公益財団法人新宿未来創造財団,独立行政法人日本芸術文化振興会,公益財団法人梅若会|公益社団法人宝生会,新宿区,,
企画展「徳川将軍家の婚礼」みどころ（2017年2月3日）,2592,,2016,単日/複数日,20170203,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""35"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
空襲と都民（2017年2月10日）,2593,,2016,単日/複数日,20170210,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""15"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
空襲と都民（2017年2月17日）,2594,,2016,単日/複数日,20170217,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""20"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
長唄、三曲、日本舞踊、発表会,2595,,2016,単日/複数日,"20170329,20170330","a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""13:30:00"";s:10:""time_bikou"";s:65:""長唄・三曲・日本舞踊第1部　3/30（木） 10:30開場"";}i:1;a:3:{s:9:""time_from"";s:8:""15:00:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:65:""長唄・三曲・日本舞踊第2部　3/30（木） 14:30開場"";}}}",4,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1778"";s:6:""備考"";s:23:""1部858人、2部920人"";}",東京都|アーツカウンシル東京|公益社団法人日本芸能実演家団体協議会,公益財団法人新宿未来創造財団,独立行政法人日本芸術文化振興会,公益財団法人梅若会|公益社団法人宝生会,新宿区,,
芝居と遊里（2017年2月24日）,2597,,2016,単日/複数日,20170224,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""18"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
芝居と遊里（2017年3月3日）,2598,,2016,単日/複数日,20170303,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""24"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
企画展「戦時下東京のこどもたち」みどころ（2017年3月10日）,2599,,2016,単日/複数日,20170310,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""28"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
情景再現,2600,,2017,期間,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",117,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:5:""27291"";}",東京都庭園美術館,,,,,20171118,20180331
開化の背景（2017年3月17日）,2601,,2016,単日/複数日,20170317,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""25"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
開化の背景（2017年3月24日）,2602,,2016,単日/複数日,20170324,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""22"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
企画展「戦時下東京のこどもたち」みどころ（2017年3月31日）,2604,,2016,単日/複数日,20170331,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""16:00:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""23"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,,
博物館ボランティア,2607,,2016,期間,,"a:1:{s:4:""time"";b:0;}",11021,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""336"";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,20160401,20170331
8月8日（月）～11月6日（日）,2610,,2016,期間,,"a:1:{s:4:""time"";a:8:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:1;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:2;a:3:{s:9:""time_from"";s:8:""16:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:3;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:4;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:5;a:3:{s:9:""time_from"";s:8:""17:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:33:""企画上映②（土曜のみ）"";}i:6;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}i:7;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}}}",308,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,20160808,20161106
11月8日（火）～2月19日（日）,2611,,2016,期間,,"a:1:{s:4:""time"";a:8:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:1;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:2;a:3:{s:9:""time_from"";s:8:""16:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:3;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:4;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:5;a:3:{s:9:""time_from"";s:8:""17:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:33:""企画上映②（土曜のみ）"";}i:6;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}i:7;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}}}",622,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,20161108,20170219
2月21日（火）～5月21日（日）,2612,,2016,期間,,"a:1:{s:4:""time"";a:8:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:1;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:2;a:3:{s:9:""time_from"";s:8:""16:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映①"";}i:3;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:4;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映②"";}i:5;a:3:{s:9:""time_from"";s:8:""17:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:36:""企画上映②（土曜日のみ）"";}i:6;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}i:7;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:15:""企画上映③"";}}}",243,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都江戸東京博物館,,,,,20170221,20170521
映像ライブラリーの運営,2613,,2016,期間,,"a:1:{s:4:""time"";b:0;}",164,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:38:""9/19以降アクセス回数：6564回"";}",東京都江戸東京博物館,,,,,20160401,20170331
狛江市立和泉小学校（2016年10月11日）,2616,,2016,単日/複数日,20161011,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""100"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
日野市立東光寺小学校（2016年10月12日）,2618,,2016,単日/複数日,20161012,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,,
青梅市立第二小学校（2016年10月13日）,2620,,2016,単日/複数日,20161013,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""124"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,,
神楽坂楽座～講釈場,2622,https://www.artscouncil-tokyo.jp/ja/events/22696/,2017,単日/複数日,20171112,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:14:""11/12（日）"";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""4800"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|圓福寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,
江東区立毛利小学校（2016年10月16日）,2623,,2016,単日/複数日,20161016,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""55"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人日本小唄連盟,,,
三宅村立三宅中学校（2016年10月20日）,2625,,2016,単日/複数日,20161020,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""28"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
成立学園中学・高等学校（2016年10月21日）,2627,,2016,単日/複数日,20161021,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""72"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人日本小唄連盟,,,
武蔵村山市立第二小学校（2016年10月21日）,2629,,2016,単日/複数日,20161021,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""86"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,,
武蔵野市立第一小学校（2016年10月21日）,2631,,2016,単日/複数日,20161021,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""57"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人日本三曲協会,,,
小平市立小平第九小学校（2016年10月26日）,2633,,2016,単日/複数日,20161026,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""80"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,,
清瀬市立清瀬小学校（2016年10月27日）,2635,,2016,単日/複数日,20161027,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""98"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
清瀬市立清瀬小学校,2637,,2016,単日/複数日,20161027,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""98"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
神楽坂芸能めぐり街角ライブ,2638,https://www.artscouncil-tokyo.jp/ja/events/22696/,2017,単日/複数日,20171112,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:10:00"";s:7:""time_to"";s:8:""16:30:00"";s:10:""time_bikou"";s:0:"""";}}}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""19700"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,
神楽坂路上界隈,2639,https://www.artscouncil-tokyo.jp/ja/events/22696/,2017,単日/複数日,20171112,"a:1:{s:4:""time"";a:6:{i:0;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:8:""14:30:00"";s:10:""time_bikou"";s:0:"""";}i:2;a:3:{s:9:""time_from"";s:8:""15:30:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:0:"""";}i:3;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""12:40:00"";s:10:""time_bikou"";s:0:"""";}i:4;a:3:{s:9:""time_from"";s:8:""13:10:00"";s:7:""time_to"";s:8:""13:50:00"";s:10:""time_bikou"";s:0:"""";}i:5;a:3:{s:9:""time_from"";s:8:""14:20:00"";s:7:""time_to"";s:8:""15:00:00"";s:10:""time_bikou"";s:0:"""";}}}",6,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""780"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|圓福寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,
覗いてみようお座敷遊び,2640,https://www.artscouncil-tokyo.jp/ja/events/22696/,2017,単日/複数日,20171112,"a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""13:00:00"";s:7:""time_to"";s:8:""14:00:00"";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""14:30:00"";s:7:""time_to"";s:8:""15:30:00"";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""76"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|圓福寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,
葛飾区立飯塚小学校（2016年10月27日）,2641,,2016,単日/複数日,20161027,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""58"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人日本三曲協会,,,
羽村市立武蔵野小学校（2016年11月4日）,2643,,2016,単日/複数日,20161104,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""110"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
東京都立工芸高等学校（2016年11月9日）,2645,,2016,単日/複数日,20161109,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""65"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|東京都華道茶道連盟,,,
荒川区立第七中学校（2016年11月12日）,2647,,2016,単日/複数日,20161112,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""88"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|東京都工芸染色協同組合,,,
練馬区立光が丘第四中学校（2016年11月12日）,2649,,2016,単日/複数日,20161112,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""110"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人落語芸術協会,,,
八王子市立楢原中学校（2016年11月24日）,2651,,2016,単日/複数日,20161124,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""175"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人日本舞踊協会,,,
世田谷区立烏山小学校（2016年11月25日）,2653,,2016,単日/複数日,20161125,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""88"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|東京都華道茶道連盟,,,
東村山市立大岱小学校（2016年11月28日）,2655,,2016,単日/複数日,20161128,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""71"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
八王子市立由井第二小学校（2016年12月6日）,2657,,2016,単日/複数日,20161206,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""52"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|西川古柳座,,,
東京都立三鷹中等教育学校（2016年12月7日）,2659,,2016,単日/複数日,20161207,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""153"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益財団法人江戸糸あやつり人形結城座,,,
大田区立高畑小学校（2016年12月19日）,2661,,2016,単日/複数日,20161219,"a:1:{s:4:""time"";b:0;}",1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""92"";s:6:""備考"";s:0:"""";}",アーツカウンシル東京,,,東京都|公益社団法人能楽協会,,,
