id,Title,決算額_year,決算額_price
3481,"N響Jazz at 芸劇",2017,
3483,"世界のマエストロシリーズ 読売日本交響楽団",2017,
3485,ブラスウィーク2017,2017,
3496,"[2017]クラシカル・プレイヤーズ東京 演奏会",2017,
3504,エル・システマ･フェスティバル2017,2017,
3524,"東京芸術劇場シアターオペラvol.11 全国共同制作プロジェクト  プッチーニ／歌劇『トスカ』《新演出》 全3幕 日本語字幕付 イタリア語上演",2017,
3528,"リサイタルシリーズ「辻井伸行 音楽と絵画コンサート」",2017,
3536,,2017,
3543,"東京芸術劇場コンサートオペラvol.5  ビゼー／歌劇『真珠とり』全3幕 *演奏会形式 日本語字幕付フランス語上演、照明付",2017,
3548,[2017]大ホール活性化事業,2017,
3552,【東京アートポイント計画】小金井アートフル・アクション！,,
3577,[2017]オルガン・ア・ラ・カルト,2017,
3584,"【収蔵展】総合開館20周年記念事業 TOPコレクション コミュニケーションと孤独― 平成をスクロールする 夏期",2017,
3587,【収蔵展】エクスパンデッド・シネマ再考,2017,
3589,"【収蔵展】総合開館20周年記念事業 TOPコレクション シンクロニシティ― 平成をスクロールする 秋期",2017,
3591,"【収蔵展】TOP Collection アジェのインスピレーション ひきつがれる精神",2017,
3593,【収蔵展】『光画』と新興写真　モダニズムの日本,"2017,2018",","
3594,【ダミー】ああああ,,
3605,[2017]0才から聴こう！！／４才から聴こう！！春休みコンサート,2017,
3616,"【企画展】総合開館20周年記念 ダヤニータ・シン インドの大きな家の美術館",2017,
3619,"【企画展】総合開館20周年記念 荒木経惟 センチメンタルな旅 1971－2017－",2017,
3627,"【企画展】長島有里枝 そしてひとつまみの皮肉と、愛を少々。",2017,
3639,外国人向け伝統文化・芸能　体験・鑑賞プログラム,,
3640,"【企画展】無垢と経験の写真 日本の新進作家 vol. 14",2017,
3642,【企画展】写真発祥地の原風景　長崎,"2017,2018",","
3647,"総合開館20周年記念事業 第10回恵比寿映像祭「マルチプルな未来」",2017,
3649,【東京アートポイント計画】三原色〔ミハライロ〕,2016,
3655,[2017]音楽大学オーケストラ･フェスティバル,2017,
3667,[2017]芸劇ウインド･オーケストラ･アカデミー,2017,
3675,【東京アートポイント計画】リライトプロジェクト,2016,
3676,[2017]芸劇ジュニア･アンサンブル・アカデミー,,
3679,[2017]都民コンサート,2017,
3682,【東京アートポイント計画】TERATOTERA,,
3689,【東京アートポイント計画】東京迂回路研究,2016,
3694,[2017]eyes系事業,2017,
3706,若手提携公演,2017,
3710,[2017]ハムレット,2017,
3713,[2017]気づかいルーシー,2017,
3715,[2017]『朗読東京』『自作自演』,2017,
3725,"[2017]RooTS Vol.05  秘密の花園",2017,
3730,【東京アートポイント計画】としまアートステーション構想,,
3731,【芸劇レパートリー】パルコ主催「不信～彼女が嘘をつく理由」,2017,
3749,"[2017]【芸劇レパートリー】ホリプロ主演公演 ミュージカル「パレード」",2017,
3751,"[2017]【芸劇レパートリー】大人計画 日本総合悲劇協会vol.6「業音」",2017,
3753,"タイムライン ふくしまの中高生によるミュージカル創作・公演",2017,
3756,"[2017]芸劇dance 若手提携",2017,
3789,【東京アートポイント計画】アートアクセスあだち　音まち千住の縁,,
3801,【東京アートポイント計画】小金井アートフル・アクション！,,
3861,【東京アートポイント計画】東京スープとブランケット紀行,2016,
3870,【東京アートポイント計画】東京ステイ,2016,
3875,"【東京アートポイント計画】Betweens Passport Initiative",2016,
3883,"【東京アートポイント計画】Artpoint Meeting",2016,
3886,"東京都による芸術文化を活用した被災地支援事業 Art Support Tohoku-Tokyo",2016,
3963,"[2017]芸劇dance Rosas 「ファーズ―Fase」「時の渦－Vortex Temporum（ヴォルテックス・テンポラム）」",2017,
3973,"[2017]芸劇dance 勅使川原三郎「月に吠える」",2017,
3975,タレンツ・トーキョー,2016,
